cuisine_type,rating,rest_address,rest_name
"Street Food, Indonesian",3.7,"Tebet, Jakarta",Crowdeat Ayam Lemes
"Chinese, Dimsum",3.6,"Gran Melia Hotel, Kuningan, Jakarta",Tien Chao - Gran Melia
"Asian, Indian, Western, Indonesian",4.1,"Gran Melia Hotel, Kuningan, Jakarta",Cafe Gran Via - Gran Melia
Indonesian,3.5,"Loksem Sunda Kelapa, Menteng, Jakarta",Tongseng Sate Kambing Pak Agus
Martabak,3.7,"Tebet, Jakarta",Martabak Lab
Bakmi,4.1,"Grogol, Jakarta",Mie Ayam Acing
"Japanese, Sushi",3.7,"Gran Melia Hotel, Kuningan, Jakarta",Yoshi Izakaya - Gran Melia
Palembang,3.6,"Cempaka Putih, Jakarta",Pempek 123
"Cafe, Coffee, Indonesian",3.7,"Senopati, Jakarta",Ragil Coffee & Roastery
"Fast Food, Burger",3.8,"Kota Kasablanka, Tebet, Jakarta",Burger King
"American, Asian",3.9,"Pacific Place, SCBD, Jakarta",CHAMBER
Drinks Only,3.7,"Cilandak Town Square, Fatmawati, Jakarta",Jenja
"Asian, Western",3.6,"Kemang, Jakarta",Bremer Beer Garden
"Western, American, Asian",4.0,"Plaza Senayan Arcadia, Senayan, Jakarta",Prohibition Chophouse &...
"Ramen, Japanese",4.3,"Setiabudi One, Setiabudi, Jakarta",Bari-Uma Ramen
Korean,3.9,"Kelapa Gading, Jakarta",Oppa House of Soju
Drinks Only,3.8,"Kota, Jakarta",Colosseum
Finger Food,3.9,"Senopati, Jakarta",SAVOI Ultra Lounge
"Burger, American, Italian",4.1,"Central Park, Tanjung Duren, Jakarta",TGI Fridays
"Tex-Mex, Italian, Caribbean",3.7,"Pasaraya Grande, Melawai, Jakarta",Aruba Restaurant and Lounge
Indonesian,4.0,"JAWARA Food Court, Kebon Jeruk, Jakarta",Nasi Cumi Hitam Madura Pak...
Jawa,3.8,"Senopati, Jakarta",Nasi Goreng Warung Bhakti
"Coffee, Desserts",3.6,"Gajah Mada Plaza, Gambir, Jakarta",J.CO Donuts & Coffee
"Korean, BBQ",0.0,"Lebak Bulus, Jakarta",Oppa Galbi
"Western, Italian, Indonesian",4.0,"Bogor Barat, Bogor",Bittersweet Resto
"Sushi, Japanese",4.0,"Pantai Indah Kapuk, Jakarta",Sushi Mentai
"Coffee, Western, Indonesian, Italian",3.6,"Cikini, Jakarta",The Apollo Cafe
"Indonesian, Asian",4.5,"Thamrin, Jakarta",Restoran Senyum Indonesia
"Satay, Padang",4.2,"Senopati, Jakarta",Sate Padang Ajo Ramon
Asian,4.2,"Pondok Indah Plaza 2, Pondok indah, Jakarta",Hatchi
